"Key","Issue Type","Parent","Summary","Status","Assignee","Sprint","Start date","Inferred start date","Due date","Inferred due date","Issue color"
"AMZNPNTR-1","Epic","","Amazons Inc Pantry Access and Visibility","In Progress","","","2025/05/18","2025/05/18","2025/05/24","2025/05/24","dark_orange"
"AMZNPNTR-2","Story","AMZNPNTR-1","As a customer, I want to access ABC Pantry from the homepage so that I can easily find and purchase daily essential items.","To Do","","","","","","","purple"
"AMZNPNTR-3","Epic","","Product Categories Display","In Progress","","","2025/05/18","2025/05/18","2025/05/19","2025/05/19","orange"
"AMZNPNTR-4","Epic",""," Advertising Integration","In Progress","","","2025/05/19","2025/05/19","2025/05/20","2025/05/20","grey"
"AMZNPNTR-5","Story","AMZNPNTR-4"," Advertising Integration","To Do","","","","","","","purple"
"AMZNPNTR-6","Epic","","Promotional Offers Display","In Progress","","","2025/05/19","2025/05/19","2025/05/19","2025/05/19","dark_yellow"
"AMZNPNTR-8","Story","AMZNPNTR-6","As a marketing manager, I want to display up to five ads on ABC Pantry so that we can generate ad revenue without disturbing the user experience.","To Do","","","","","","","purple"
"AMZNPNTR-9","Epic","","Shopping Cart Integration","In Progress","","","2025/05/20","2025/05/20","2025/05/20","2025/05/20","dark_grey"
"AMZNPNTR-10","Story","AMZNPNTR-9","As a customer, I want to add both essential and non-essential products to a single shopping cart so that I can place one combined order.","To Do","","","","","","","purple"
"AMZNPNTR-11","Epic","","Minimum Order Restriction","To Do","","","2025/05/20","2025/05/20","2025/05/21","2025/05/21","teal"
"AMZNPNTR-16","Story","AMZNPNTR-11","As a customer, I want to be notified if my order is below $30 so that I know I must add more items before checking out.","To Do","","","","","","","purple"
"AMZNPNTR-12","Epic","","Free Delivery Threshold","To Do","","","2025/05/22","2025/05/21","2025/05/21","2025/05/22","dark_grey"
"AMZNPNTR-17","Story","AMZNPNTR-12","As a customer, I want to know if my order qualifies for free delivery so that I can decide whether to add more items to save on delivery charges.","To Do","","","","","","","purple"
"AMZNPNTR-13","Epic","","City-Based Availability","To Do","","","2025/05/21","2025/05/21","2025/05/22","2025/05/22","dark_orange"
"AMZNPNTR-14","Epic","","Zone Classification Reporting","To Do","","","2025/05/22","2025/05/22","2025/05/23","2025/05/23","dark_yellow"
"AMZNPNTR-18","Story","AMZNPNTR-14","As an operations analyst, I want sales to be categorized by zone (1 to 4) so that I can analyze regional performance.","To Do","","","","","","","purple"
"AMZNPNTR-15","Epic","","Daily & Weekly Sales Reporting","To Do","","","2025/05/23","2025/05/23","2025/05/24","2025/05/24","dark_blue"
"AMZNPNTR-19","Story","AMZNPNTR-15","As a business manager, I want daily, weekly, and category-based sales reports so that I can monitor performance and plan inventory.","To Do","","","","","","","purple"
